municipality,year,population
Lemvig,2021,19513.75
Lemvig,2022,19408.0
Lemvig,2023,19300.5
Lolland,2008,48071.75
Lolland,2009,47450.75
Lolland,2010,46699.0
Lolland,2011,45865.0
Lolland,2012,45022.25
Lolland,2013,44100.5
Lolland,2014,43358.75
Lolland,2015,42919.25
Lolland,2016,42531.0
Lolland,2017,42198.25
Lolland,2018,41859.25
Lolland,2019,41472.25
Lolland,2020,40876.25
Lolland,2021,40376.5
Lolland,2022,40062.25
Lolland,2023,39850.5
Lyngby-Taarbæk,2008,51547.0
Lyngby-Taarbæk,2009,51680.75
Lyngby-Taarbæk,2010,52414.75
Lyngby-Taarbæk,2011,52896.0
Lyngby-Taarbæk,2012,53438.75
Lyngby-Taarbæk,2013,53997.25
Lyngby-Taarbæk,2014,54467.0
Lyngby-Taarbæk,2015,54823.75
Lyngby-Taarbæk,2016,55225.75
Lyngby-Taarbæk,2017,55404.25
Lyngby-Taarbæk,2018,55587.25
Lyngby-Taarbæk,2019,56104.75
Lyngby-Taarbæk,2020,56273.25
Lyngby-Taarbæk,2021,57113.25
Lyngby-Taarbæk,2022,58093.75
Lyngby-Taarbæk,2023,58507.75
Læsø,2008,2001.25
Læsø,2009,1987.0
Læsø,2010,1966.75
Læsø,2011,1938.0
Læsø,2012,1877.75
Læsø,2013,1845.5
Læsø,2014,1802.75
Læsø,2015,1804.75
Læsø,2016,1815.75
Læsø,2017,1798.5
Læsø,2018,1811.0
Læsø,2019,1808.0
Læsø,2020,1779.0
Læsø,2021,1780.0
Læsø,2022,1782.25
Læsø,2023,1780.5
Mariagerfjord,2008,42695.25
Mariagerfjord,2009,42720.25
Mariagerfjord,2010,42556.0
Mariagerfjord,2011,42566.5
Mariagerfjord,2012,42349.75
Mariagerfjord,2013,42072.0
Mariagerfjord,2014,42063.75
Mariagerfjord,2015,42132.75
Mariagerfjord,2016,42115.5
Mariagerfjord,2017,42075.25
Mariagerfjord,2018,42126.0
Mariagerfjord,2019,41943.0
Mariagerfjord,2020,41693.25
Mariagerfjord,2021,41563.5
Mariagerfjord,2022,41775.75
Mariagerfjord,2023,41853.0
Middelfart,2008,37388.0
Middelfart,2009,37647.75
Middelfart,2010,37642.75
Middelfart,2011,37657.0
Middelfart,2012,37622.5
Middelfart,2013,37586.5
