OMRÅDE,ALDER,KØN,TID,INDHOLD
Rebild,Alder i alt,I alt,2015,3.5
Mariagerfjord,Alder i alt,I alt,2015,4.5
Jammerbugt,Alder i alt,I alt,2015,4.6
Aalborg,Alder i alt,I alt,2015,5.9
Hjørring,Alder i alt,I alt,2015,4.9
Ishøj,Alder i alt,I alt,2019,5.9
Tårnby,Alder i alt,I alt,2019,3.1
Vallensbæk,Alder i alt,I alt,2019,3.2
Furesø,Alder i alt,I alt,2019,2.5
Allerød,Alder i alt,I alt,2019,2.1
Fredensborg,Alder i alt,I alt,2019,2.8
Helsingør,Alder i alt,I alt,2019,3.7
Hillerød,Alder i alt,I alt,2019,2.5
Hørsholm,Alder i alt,I alt,2019,2.5
Rudersdal,Alder i alt,I alt,2019,2.5
Egedal,Alder i alt,I alt,2019,2.6
Frederikssund,Alder i alt,I alt,2019,2.8
Greve,Alder i alt,I alt,2019,2.9
Køge,Alder i alt,I alt,2019,3.1
Halsnæs,Alder i alt,I alt,2019,3.2
Roskilde,Alder i alt,I alt,2019,2.9
Randers,Alder i alt,I alt,2019,3.8
Silkeborg,Alder i alt,I alt,2019,3.1
Samsø,Alder i alt,I alt,2019,4.6
Skanderborg,Alder i alt,I alt,2019,2.3
Aarhus,Alder i alt,I alt,2019,4.3
Ikast-Brande,Alder i alt,I alt,2019,3.2
Ringkøbing-Skjern,Alder i alt,I alt,2019,2.6
Hedensted,Alder i alt,I alt,2019,2.4
Morsø,Alder i alt,I alt,2019,3.0
Skive,Alder i alt,I alt,2019,2.5
Thisted,Alder i alt,I alt,2019,3.2
Viborg,Alder i alt,I alt,2019,3.1
Brønderslev,Alder i alt,I alt,2019,3.6
Frederikshavn,Alder i alt,I alt,2019,4.1
Vesthimmerlands,Alder i alt,I alt,2019,3.9
Middelfart,Alder i alt,I alt,2019,2.8
Assens,Alder i alt,I alt,2019,3.5
Faaborg-Midtfyn,Alder i alt,I alt,2019,3.7
Kerteminde,Alder i alt,I alt,2019,3.8
Nyborg,Alder i alt,I alt,2019,3.7
Odense,Alder i alt,I alt,2019,4.6
Svendborg,Alder i alt,I alt,2019,4.1
Nordfyns,Alder i alt,I alt,2019,4.1
Langeland,Alder i alt,I alt,2019,4.4
Ærø,Alder i alt,I alt,2019,4.0
Haderslev,Alder i alt,I alt,2019,3.4
Odense,Alder i alt,I alt,2011,7.6
Svendborg,Alder i alt,I alt,2011,6.8
Nordfyns,Alder i alt,I alt,2011,7.4
Langeland,Alder i alt,I alt,2011,7.9
Ærø,Alder i alt,I alt,2011,4.5
Haderslev,Alder i alt,I alt,2011,6.0
Billund,Alder i alt,I alt,2011,3.7
Sønderborg,Alder i alt,I alt,2011,5.8
Tønder,Alder i alt,I alt,2011,6.0
Esbjerg,Alder i alt,I alt,2011,5.2
Fanø,Alder i alt,I alt,2011,4.1
Varde,Alder i alt,I alt,2011,4.1
Vejen,Alder i alt,I alt,2011,4.6
Aabenraa,Alder i alt,I alt,2011,6.4
Fredericia,Alder i alt,I alt,2011,6.7
Horsens,Alder i alt,I alt,2011,6.1
Kolding,Alder i alt,I alt,2011,5.4
Vejle,Alder i alt,I alt,2011,4.9
Herning,Alder i alt,I alt,2011,5.3
Holstebro,Alder i alt,I alt,2011,5.0
Lemvig,Alder i alt,I alt,2011,4.7
Struer,Alder i alt,I alt,2011,6.1
Syddjurs,Alder i alt,I alt,2011,5.5
Norddjurs,Alder i alt,I alt,2011,6.0
Favrskov,Alder i alt,I alt,2011,4.3
Odder,Alder i alt,I alt,2011,4.8
Randers,Alder i alt,I alt,2011,6.2
